id,image_id,best_caption,blip2_rr,clip_rr,retrieval_avg_rr,blip2_pk,clip_pk,retrieval_avg_pk,glide_score,sdxl_score,avg_generative_score
319365,363951,Black and white of windsurfers on a lake.,1.0,1.0,1.0,0.1,0.1,0.1,0.5,2.0,1.25
592015,568311,A black and white picture of several buses driving down a street.,0.25,0.125,0.1875,0.2,0.1,0.15000000000000002,1.3333333333333333,2.0,1.6666666666666663
297524,78896,"A bed made up with linens, is outside on a street corner.",1.0,0.3333333333333333,0.6666666666666666,0.1,0.1,0.1,-0.5,1.6666666666666667,0.5833333333333334
462578,101622,A man in a cubicle with an Indiana Jones T Shirt talking on a cell phone.,1.0,1.0,1.0,0.1,0.1,0.1,0.0,1.6666666666666667,0.8333333333333334
590752,545209,"A surfer is riding a big wave on a white, red and gray surfboard.",0.05,0.012048192771084338,0.03102409638554217,0.0,0.0,0.0,-0.1666666666666666,2.0,0.9166666666666666
586484,26208,A wooden cutting board topped with slices of pizza.,1.0,1.0,1.0,0.5,0.3,0.4,0.3333333333333333,2.0,1.1666666666666667
399457,188120,People in a park trying to fly a large purple kite that looks like a fish.,1.0,0.16666666666666666,0.5833333333333334,0.1,0.1,0.1,-1.0,1.3333333333333333,0.1666666666666666
785782,471514,A young person jumping a snowboard off a snow ramp on a hillside.,0.5,0.03333333333333333,0.26666666666666666,0.2,0.0,0.1,1.0,2.0,1.5
319086,257796,A closed gated area with several stop signs displayed,1.0,0.037037037037037035,0.5185185185185185,0.1,0.0,0.05,-0.25,1.75,0.75
310536,139457,A large group of people sitting around a table posing for a photo.,0.5,0.5,0.5,0.4,0.1,0.25,0.0,2.0,1.0
649868,549184,Two men are sitting on a couch in the background and a Wii controller is in the foreground.,0.1,0.041666666666666664,0.07083333333333333,0.1,0.0,0.05,0.0,1.5,0.75
514968,29913,A fire hydrant with a pair of eye stickers making a face on it.,0.25,1.0,0.625,0.1,0.2,0.15000000000000002,1.0,1.5,1.25
103214,362966,A person holds a fork near a plate of food. ,1.0,0.0022988505747126436,0.5011494252873563,0.2,0.0,0.1,0.0,2.0,1.0
516278,489719,An adult elephant and a baby elephant by a lake.,1.0,0.045454545454545456,0.5227272727272727,0.3,0.0,0.15,1.8333333333333333,2.0,1.9166666666666667
777772,141372,A clock post with two faces pointing to the same time,0.5,0.08333333333333333,0.2916666666666667,0.1,0.0,0.05,1.0,1.1666666666666663,1.0833333333333333
321774,553969,a small airplane sitting in the middle of an airstrip in a field,0.07142857142857142,0.02857142857142857,0.049999999999999996,0.0,0.0,0.0,0.8333333333333334,2.0,1.4166666666666667
738530,199575,a small dog is standing in a large kitchen,1.0,0.3333333333333333,0.6666666666666666,0.2,0.1,0.15000000000000002,1.0,2.0,1.5
326941,494269,A white bathroom with a toilet and sink.,1.0,0.1,0.55,0.6,0.1,0.35,2.0,2.0,2.0
228602,138008,A moped is sitting alongside a green fence overlooking a white building and rock cliff.,1.0,0.25,0.625,0.1,0.1,0.1,-0.5,1.8333333333333333,0.6666666666666667
550650,568034,A brown dog sticking its head out an automobile window.,1.0,1.0,1.0,0.9,0.4,0.65,1.5,1.8333333333333333,1.6666666666666667
403241,257198,A woman in sunglasses eating a hotdog in grassy area.,0.16666666666666666,0.25,0.20833333333333331,0.2,0.2,0.2,0.0,2.0,1.0
820631,162429,Two women are standing under a pink umbrella.  ,1.0,0.16666666666666666,0.5833333333333334,0.2,0.1,0.15000000000000002,0.0,1.5,0.75
27533,115459,A girl flying a yellow kite on a field. ,0.06666666666666667,0.5,0.2833333333333333,0.0,0.1,0.05,1.0,2.0,1.5
708132,522302,A train traveling over a bridge next to a brick wall.,0.25,0.030303030303030304,0.14015151515151514,0.1,0.0,0.05,0.6666666666666666,1.5,1.0833333333333333
563910,298380,a person riding a snow board on a snowy surface,0.01818181818181818,0.034482758620689655,0.026332288401253918,0.0,0.0,0.0,0.0,2.0,1.0
274474,222195,A cat lying down with a packaged toothbrush on its head.,1.0,1.0,1.0,0.2,0.1,0.15000000000000002,-1.0,1.1666666666666663,0.0833333333333333
119671,277096,"A kitchen area features a silver refrigerator, stove and counters on dark, wood flooring.",0.037037037037037035,0.007518796992481203,0.02227791701475912,0.0,0.0,0.0,1.5,2.0,1.75
723110,350132,A person is catching a Frisbee in a park near a city.,0.2,0.014492753623188406,0.10724637681159421,0.1,0.0,0.05,0.0,1.6666666666666667,0.8333333333333334
760207,257470,A young woman sits in bed combing her hair.,1.0,0.5,0.75,0.2,0.2,0.2,-0.6666666666666666,2.0,0.6666666666666667
507376,422026,A pan of chopped broccoli is cooking near a plate of meat.,0.25,0.027777777777777776,0.1388888888888889,0.1,0.0,0.05,1.0,2.0,1.5
743133,207500,A young person rides a snowboard down a hill.,1.0,0.0625,0.53125,0.2,0.0,0.1,0.5,2.0,1.25
757203,282782,a group of cows grazing by the water,1.0,0.5,0.75,0.7,0.4,0.55,1.5,2.0,1.75
170616,536926,A man on a skateboard in the air during a trick.,1.0,1.0,1.0,0.7,0.3,0.5,-1.0,2.0,0.5
73217,527863,"A dinner plate features a fried egg, potatoes and broccoli with sauce.",0.5,1.0,0.75,0.1,0.1,0.1,1.5,2.0,1.75
441055,293254,A bowl filled with lots of oranges on top of a wooden table.,1.0,1.0,1.0,0.8,0.4,0.6000000000000001,1.5,2.0,1.75
799788,196817,"A plate of food including rice, broccoli, protein and a sauce in a bowl.  ",0.024390243902439025,0.0028089887640449437,0.013599616333241984,0.0,0.0,0.0,1.0,1.5,1.25
204488,13721,A person on a blue bench wearing patterned socks.,1.0,1.0,1.0,0.1,0.1,0.1,0.0,2.0,1.0
640310,173069,A view of a small room with a business desk and a bed in the corner.,1.0,0.006756756756756757,0.5033783783783784,0.1,0.0,0.05,1.25,1.75,1.5
228810,406959,"A large clock sits next to a large building
",0.05,0.017241379310344827,0.03362068965517241,0.0,0.0,0.0,0.5,1.0,0.75
608070,131366,A group of women holding tennis racquets and posing for a photo.,0.5,1.0,0.75,0.8,0.8,0.8,0.0,0.3333333333333333,0.1666666666666666
469713,211205,a family is waiting with their luggage on a curb.,0.07142857142857142,0.14285714285714285,0.10714285714285714,0.0,0.1,0.05,0.1666666666666666,2.0,1.0833333333333333
662449,212635,"A living area with a couch, two photographs of a candle holder.",0.05263157894736842,0.00546448087431694,0.02904802991084268,0.0,0.0,0.0,-0.5,1.0,0.25
207007,533897,A white plate topped with broccoli and chicken.,0.25,0.125,0.1875,0.1,0.1,0.1,1.6666666666666667,2.0,1.8333333333333333
388792,462135,A bathroom with wooden cabinets and tile flooring,0.0625,0.05,0.05625,0.0,0.0,0.0,1.8333333333333333,2.0,1.9166666666666667
479763,87503,A red train car is on the tracks between other cars.,0.08333333333333333,0.013157894736842105,0.04824561403508772,0.0,0.0,0.0,1.4166666666666663,0.5,0.9583333333333331
784388,565438,A man performs a kick flip on his skate board,0.125,0.06666666666666667,0.09583333333333333,0.1,0.0,0.05,-0.6666666666666666,1.75,0.5416666666666667
701219,533446,A black bear is sitting on a ledge.,0.14285714285714285,0.1111111111111111,0.12698412698412698,0.3,0.2,0.25,1.25,2.0,1.625
629157,523959,A traffic signal in front of a large spire with a clock.,1.0,0.2,0.6,0.5,0.1,0.3,0.0,1.8333333333333333,0.9166666666666669
97280,319073,A surfer in a wetsuit rides on a wave.,0.5,0.1111111111111111,0.3055555555555556,0.4,0.1,0.25,0.0,2.0,1.0
39306,162578,several children are playing soccer on a field.,1.0,0.5,0.75,1.0,0.2,0.6,1.0,2.0,1.5
323600,61133,A bottle of fresh milk sits beside a container of chocolate cookies and 3 tangerines on a table. ,1.0,1.0,1.0,0.1,0.1,0.1,0.5,1.6666666666666667,1.0833333333333337
225431,193986,Two men and a woman sitting on a couch playing a Wii game. ,0.25,0.07692307692307693,0.16346153846153846,0.3,0.0,0.15,-0.8333333333333333,1.6666666666666667,0.4166666666666667
258534,508713,an image of a herd of cows on the beach,1.0,0.5,0.75,0.8,0.6,0.7,-1.0,2.0,0.5
45109,12429,Cluttered but clean shared bathroom vanity counter top.,0.25,0.25,0.25,0.3,0.2,0.25,1.1666666666666663,2.0,1.5833333333333333
311783,490490,A kitty cat sitting inside a suitcase with purses in it.,0.1111111111111111,0.07142857142857142,0.09126984126984126,0.1,0.0,0.05,1.0,2.0,1.5
35663,316481,A tall wooden snow board next to a woman at a table.,1.0,1.0,1.0,0.2,0.2,0.2,-0.6666666666666666,1.6666666666666667,0.5
115826,516827,a horse eating grass in a field behind a fence,1.0,1.0,1.0,0.4,0.1,0.25,1.3333333333333337,1.5,1.4166666666666667
82354,490462,A man looking at the graffiti on the side of a train,0.125,1.0,0.5625,0.1,0.1,0.1,1.0,2.0,1.5
779905,522637,A man leaning up against a brick wall while talking on a phone.,1.0,0.02040816326530612,0.5102040816326531,0.2,0.0,0.1,-0.25,2.0,0.875
539473,547592,a hotel room with a nice tv and sofa setup,0.004016064257028112,0.004672897196261682,0.0043444807266448966,0.0,0.0,0.0,1.0,2.0,1.5
817201,80943,Two giraffes standing side by side in a wooded field.,0.0625,0.0028169014084507044,0.03265845070422535,0.0,0.0,0.0,1.5,1.8333333333333333,1.6666666666666667
633881,250234,Large pile of blood oranges displayed in photo.,0.2,0.3333333333333333,0.26666666666666666,0.2,0.2,0.2,2.0,2.0,2.0
784944,187064,A clean living room is seen in this picture.,0.05555555555555555,0.125,0.09027777777777778,0.0,0.1,0.05,-0.8333333333333333,2.0,0.5833333333333334
681300,541514,A lone zebra standing next to a tree in front of a fence,1.0,0.5,0.75,0.4,0.3,0.35,0.0,2.0,1.0
170691,555263,A woman holds a pink bag with over sized eyes.,1.0,1.0,1.0,0.1,0.1,0.1,0.0,0.3333333333333333,0.1666666666666666
228437,503887,People walking beside a train in a forest environment.,1.0,1.0,1.0,0.2,0.2,0.2,0.25,2.0,1.125
