image_id,best_caption,score
363951,Black and white of windsurfers on a lake.,1.25
568311,A black and white picture of several buses driving down a street.,1.6666666666666665
78896,"A bed made up with linens, is outside on a street corner.",0.5833333333333334
101622,A man in a cubicle with an Indiana Jones T Shirt talking on a cell phone.,0.8333333333333334
545209,"A surfer is riding a big wave on a white, red and gray surfboard.",0.9166666666666666
26208,A wooden cutting board topped with slices of pizza.,1.1666666666666667
188120,People in a park trying to fly a large purple kite that looks like a fish.,0.16666666666666663
471514,A young person jumping a snowboard off a snow ramp on a hillside.,1.5
257796,A closed gated area with several stop signs displayed,0.75
139457,A large group of people sitting around a table posing for a photo.,1.0
549184,Two men are sitting on a couch in the background and a Wii controller is in the foreground.,0.75
29913,A fire hydrant with a pair of eye stickers making a face on it.,1.25
362966,A person holds a fork near a plate of food. ,1.0
489719,An adult elephant and a baby elephant by a lake.,1.9166666666666667
141372,A clock post with two faces pointing to the same time,1.0833333333333333
553969,a small airplane sitting in the middle of an airstrip in a field,1.4166666666666667
199575,a small dog is standing in a large kitchen,1.5
494269,A white bathroom with a toilet and sink.,2.0
138008,A moped is sitting alongside a green fence overlooking a white building and rock cliff.,0.6666666666666667
568034,A brown dog sticking its head out an automobile window.,1.6666666666666667
257198,A woman in sunglasses eating a hotdog in grassy area.,1.0
162429,Two women are standing under a pink umbrella.  ,0.75
115459,A girl flying a yellow kite on a field. ,1.5
522302,A train traveling over a bridge next to a brick wall.,1.0833333333333333
298380,a person riding a snow board on a snowy surface,1.0
222195,A cat lying down with a packaged toothbrush on its head.,0.08333333333333331
277096,"A kitchen area features a silver refrigerator, stove and counters on dark, wood flooring.",1.75
350132,A person is catching a Frisbee in a park near a city.,0.8333333333333334
257470,A young woman sits in bed combing her hair.,0.6666666666666667
422026,A pan of chopped broccoli is cooking near a plate of meat.,1.5
207500,A young person rides a snowboard down a hill.,1.25
282782,a group of cows grazing by the water,1.75
536926,A man on a skateboard in the air during a trick.,0.5
527863,"A dinner plate features a fried egg, potatoes and broccoli with sauce.",1.75
293254,A bowl filled with lots of oranges on top of a wooden table.,1.75
196817,"A plate of food including rice, broccoli, protein and a sauce in a bowl.  ",1.25
13721,A person on a blue bench wearing patterned socks.,1.0
173069,A view of a small room with a business desk and a bed in the corner.,1.5
406959,"A large clock sits next to a large building
",0.75
131366,A group of women holding tennis racquets and posing for a photo.,0.16666666666666669
211205,a family is waiting with their luggage on a curb.,1.0833333333333333
212635,"A living area with a couch, two photographs of a candle holder.",0.25
533897,A white plate topped with broccoli and chicken.,1.8333333333333335
462135,A bathroom with wooden cabinets and tile flooring,1.9166666666666667
87503,A red train car is on the tracks between other cars.,0.9583333333333333
565438,A man performs a kick flip on his skate board,0.5416666666666667
533446,A black bear is sitting on a ledge.,1.625
523959,A traffic signal in front of a large spire with a clock.,0.9166666666666667
319073,A surfer in a wetsuit rides on a wave.,1.0
